Medical Career College of Northern California,7475 Kanai Avenue,Citrus Heights,CA,"""95621"""
Medical Career Institute,"901 West Park Avenue, Cobblestone Village",Ocean Township,NJ,"""07712"""
Medical College of Wisconsin,8701 Watertown Plank Rd,Milwaukee,WI,"""53226-0509"""
Medical Education and Training Campus,"3176 CPL Johnson Road, Bldg. 1291, JBSA",Fort Sam Houston,TX,"""78234-6402"""
Medical Institute,"5170 Santa Monica Boulevard, Suite",Los Angeles,CA,"""90029"""
Medical Institute of Palm Beach,5821-B Lake Worth Road,Greenacres,FL,"""33463"""
Medical Professional Institute,"388 Pleasant Street, 3rd Floor",Malden,MA,"""02148-8143"""
Medical Training College,10525 Plaza Americana Drive,Baton Rouge,LA,"""70816"""
Medical University of South Carolina,171 Ashley Ave,Charleston,SC,"""29425-0100"""
Medix College,2108 Cobb Parkway,Smyrna,GA,"""30080"""
Medix School - Towson,700 York Road,Towson,MD,"""21204"""
Medix School - West,6901 Security Boulevard,Baltimore,MD,"""21244"""
"Medspa Academies, Inc. dba National Institute of Medical Aesthetics",10714 South River Front Parkway,South Jordan,UT,"""84095"""
MedTech College,"4501 Circle 75 Parkway, Suite D-4100",Atlanta,GA,"""30339"""
Medtech Institute - Falls Church,6565 Arligton Blvd.,Falls Church,VA,"""22031"""
MedVance Institute - Baton Rouge,9255 Interline Avenue,Baton Rouge,LA,"""70809-1908"""
Meharry Medical College,1005 Dr. D.B. Todd Blvd.,Nashville,TN,"""37208"""
Memorial Hospital School of Nursing,600 Northern Blvd,Albany,NY,"""12204"""
Memorial Sloan-Kettering Cancer Center - Radiation Therapy,"1275 York Avenue, Box 22",New York,NY,"""10065"""
Memphis College of Art,1930 Poplar Ave,Memphis,TN,"""38104-2764"""
Memphis Theological Seminary,168 East Parkway South,Memphis,TN,"""38104-4395"""
Mendocino College,1000 Hensley Creek Road,Ukiah,CA,"""95482"""
Menlo College,1000 El Camino Real,Atherton,CA,"""94027"""
Mennonite Brethren Biblical Seminary,4824 E Butler,Fresno,CA,"""93727-5097"""
Mentor Language Institute,"9744 Wilshire Blvd, Suite #445",Beverly Hills,CA,"""90212"""
Merced College,3600 M St,Merced,CA,"""95348-2898"""
Mercer County Community College,1200 Old Trenton Road,West Windsor,NJ,"""08550-3407"""
Mercer University,1400 Coleman Avenue,Macon,GA,"""31207"""
Mercy College - Dobbs Ferry,555 Broadway,Dobbs Ferry,NY,"""10522"""
Mercy College of Health Sciences,928 Sixth Ave,Des Moines,IA,"""50309-1239"""
Mercy College of Ohio,2221 Madison Avenue,Toledo,OH,"""43604-1132"""
Mercy Hospital College of Nursing,3663 South Miami Avenue,Miami,FL,"""33133"""
Mercyhurst College,501 E 38th St,Erie,PA,"""16546"""
Meredith College,3800 Hillsborough St,Raleigh,NC,"""27607-5298"""
Meredith Manor International Equestrian Center,147 Saddle Lane,Waverly,WV,"""26184"""
Meridian Career Institute - Tampa,9503 Princess Palm Avenue,Tampa,FL,"""33619"""
Meridian College,"7020 Professional Way East, Suite 200",Sarasota,FL,"""34240"""
Meridian Community College,910 Hwy 19 N,Meridian,MS,"""39307-5801"""
Meridian Institute,"4201 Wilshire Boulevard, Suite 515",Los Angeles,CA,"""90010"""
Meridian Institute of Surgical Assisting,1507 County Hospital Road,Nashville,TN,"""37218"""
Meridian Technology Center,1312 S Sangre Rd,Stillwater,OK,"""74074-1899"""
Merkaz Bnos - Business School,2115 Benson Avenue,Brooklyn,NY,"""11214"""
Merrimack College,315 Turnpike St,North Andover,MA,"""01845"""
Merritt College,12500 Campus Dr,Oakland,CA,"""94619-3196"""
Merryfield School of Pet Grooming,5040 N. E. 13th Ave.,Ft. Lauderdale,FL,"""33334"""
Mesabi Range Community and Technical College,1001 Chestnut St W,Virginia,MN,"""55792"""
Mesalands Community College,911 S Tenth Street,Tucumcari,NM,"""88401-3352"""
Mesivhta Tifereth Jerusalem of America,145 E Broadway,New York,NY,"""10002-6301"""
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,510 Dahill Rd,Brooklyn,NY,"""11218"""
Mesivta Torah Vodaath Rabbinical Seminary,425 E 9th St,Brooklyn,NY,"""11218"""
Messenger College,400 S. Industrial Boulevard,Euless,TX,"""76040"""
Messiah College,One College Ave,Grantham,PA,"""17027"""
Methodist College,5400 Ramsey St,Fayetteville,NC,"""28311-1420"""
Methodist College of Nursing,415 St. Mark Court,Peoria,IL,"""61603"""
Methodist Hospital School of Nursing,251 S Claybrook,Memphis,TN,"""38104"""
Methodist Theological School in Ohio,3081 Columbus Pike,Delaware,OH,"""43015"""
Metro Business College of Cape Girardeau,1732 N Kingshighway,Cape Girardeau,MO,"""63701"""
Metro Technology Centers,1900 Springlake Drive,Oklahoma City,OK,"""73111-5240"""
Metropolitan College of New York,75 Varick St,New York,NY,"""10013-1919"""
Metropolitan Community College,North 30th Street and Fort Street,Omaha,NE,"""68111"""
Metropolitan Community College - Kansas City,3200 Broadway,Kansas City,MO,"""64111-2429"""
Metropolitan Learning Institute,"97-77 Queens Blvd., 9th Floor",Rego Park,NY,"""11374"""
Metropolitan State University,700 E Seventh St,Saint Paul,MN,"""55106-5000"""
Metropolitan State University of Denver,PO Box 173362,Denver,CO,"""80217-3362"""
Meyer Uebehler & Associates Dale Carnegie Training,1463 County Road X,Mosinee,WI,
MGH Institute of Health Professions,36 1st Avenue,Boston,MA,"""02129-4557"""
Miami Ad School,955 Alton Rd,Miami Beach,FL,"""33139-5203"""
Miami Dade College,300 NE 2nd Ave,Miami,FL,"""33132-2297"""
Miami International University of Art and Design,1501 Biscayne Boulevard,Miami,FL,"""33132-1418"""
Miami Job Corps Center,3050 N.W. 183rd Street,Miami,FL,"""33056-3536"""
Miami Lakes Educational Center,5780 NW 158th St,Miami Lakes,FL,"""33014"""
Miami University,501 East High St,Oxford,OH,"""45056"""
MIAT College of Technology,2955 South Haggerty Road,Canton,MI,"""48188"""
MIAT Institute of Technology,533 Northpark Central Drive,Houston,TX,"""77073"""
Michigan Jewish Institute,6890 West Maple Road,West Bloomfield,MI,"""48237"""
Michigan Language Center,309 S. State Street,Ann Arbor,MI,"""48104"""
Michigan Montessori Teacher Education Center (AMS),1263 S. Adams Rd.,Rochester Hills,MI,"""48309"""
Michigan School of Professional Psychology,26811 Orchard Lake Rd.,Farmington Hills,MI,"""48334-4512"""
Michigan State University,450 Administration Bldg.,East Lansing,MI,"""48824-1046"""
Michigan Technological University,1400 Townsend Drive,Houghton,MI,"""49931-1295"""
Micromeritics Learning Center,4356 Communications Drive,Norcross,GA,"""30093"""
"Micropower Career Institute, Manhattan","137 West 25th Street, 5th Floor",New York,NY,"""10001"""
Mid - Maine Technical Center,3 Brooklyn Avenue,Waterville,ME,"""04901"""
Mid Florida Tech,2900 West Oak Ridge Road,Orlando,FL,"""32809"""
Mid Michigan Community College,1375 S Clare Ave,Harrison,MI,"""48625-9447"""
"Mid-America Baptist Theological Seminary, Germantown","2216 Germantown Rd., South",Germantown,TN,"""38138"""
Mid-America Christian University,3500 SW 119th St,Oklahoma City,OK,"""73170-9797"""
Mid-America College of Funeral Service,3111 Hamburg Pke,Jeffersonville,IN,"""47130"""
Mid-America Reformed Seminary,229 Seminary Drive,Dyer,IN,"""46311"""
Mid-America Technology Center,27438 State Hwy 59,Wayne,OK,"""73095-0210"""
Mid-American Montessori Teacher Training Institute,10730 Pacific St. #234,Omaha,NE,"""68114"""
Mid-Atlantic Christian University,715 N Poindexter St,Elizabeth City,NC,"""27909-4054"""
Mid-Continent University,99 Powell Rd E,Mayfield,KY,"""42066-9007"""
Mid-Del Technology Center,1621 Maple Dr,Midwest,OK,"""73110-4825"""
Mid-Plains Community College - South Campus,601 West State Farm Road,North Platte,NE,"""69101"""
Mid-South Community College,2000 W.  Broadway,West Memphis,AR,"""72301-3829"""
Mid-State Technical College,500 32nd St N,Wisconsin Rapids,WI,"""54494"""
MidAmerica Nazarene University,2030 E College Way,Olathe,KS,"""66062-1899"""
Middle Georgia College,1100 Second St SE,Cochran,GA,"""31014-1599"""
Middle Georgia Technical College,80 Cohen Walker Dr,Warner Robins,GA,"""31088"""
Middle Tennessee School of Anesthesia Inc,315 Hospital Drive,Madison,TN,"""37116"""
Middle Tennessee State University,1301 East Main Street,Murfreesboro,TN,"""37132"""
Middlebury College,Old Chapel,Middlebury,VT,"""05753"""
Middlesex Community College - Bedford,591 Springs Road,Bedford,MA,"""01730-9124"""
Middlesex Community College - Middletown,100 Training Hill Road,Middletown,CT,"""06457-4829"""
Middlesex County College,2600 Woodbridge Avenue,Edison,NJ,"""08818-3050"""
Midland College,3600 N Garfield,Midland,TX,"""79705"""
Midland University,900 N. Clarkson,Fremont,NE,"""68025"""
Midlands Technical College,1260 Lexington Drive,West Columbia,SC,"""29170"""
Midstate College,411 W Northmoor Road,Peoria,IL,"""61614-3595"""
Midway College,512 E. Stephens St,Midway,KY,"""40347-1120"""
Midwest College of Oriental Medicine,"6232 Bankers Road, Suites 5 & 6",Racine,WI,"""53403-9747"""
Midwest Institute - Fenton,962 S. Highway Drive,Fenton,MO,"""63026"""
Midwest Montessori Teacher Training Center (AMS),926 Noyes Street,Evanston,IL,"""60201"""
Midwest Technical Institute,405 N. Limit St.,Lincoln,IL,"""62656-0506"""
Midwest Technical Institute - East Peoria,280 Highpoint Lane,East Peoria,IL,"""61611"""
Midwestern Baptist Theological Seminary,5001 N. Oak Trafficway,Kansas City,MO,"""64118-4697"""
Midwestern State University,3410 Taft Blvd,Wichita Falls,TX,"""76308-2099"""
Midwestern University,555 31st Street,Downers Grove,IL,"""60515-5514"""
Midwives College of Utah,1174 E 2700 S Suite 2,Salt Lake City,UT,"""84106-2671"""
Milan Institute,6500 S. Mooney Blvd,Visalia,CA,"""93277"""
Milan Institute - Palm Desert,75-030 Gerald Ford Drive,Palm Desert,CA,"""92211"""
Milan Institute - San Antonio,6804 Ingram Road,San Antonio,TX,"""78238"""
Milan Institute - Visalia,6500 S. Mooney Blvd,Visalia,CA,"""93277"""
Mildred Elley,855 Central Avenue,Albany,NY,"""12206"""
Miles College,5500 Myron Massey Blvd,Fairfield,AL,"""35064"""
Miles Community College,2715 Dickinson,Miles City,MT,"""59301-4774"""
Millennia Atlantic University,"3801 NW 97th Avenue, Suite 100",Doral,FL,"""33178"""
Millennium Training Institute,"600 West Cummings Park, Suite 2450",Woburn,MA,"""01801"""
Miller-Motte Technical College - Clarksville,1820 Business Park Dr,Clarksville,TN,"""37040"""
Miller-Motte Technical College - Lynchburg,1011 Creekside Lane,Lynchburg,VA,"""24502"""
Millersville University of Pennsylvania,20 Dilworth Rd,Millersville,PA,"""17551-0302"""
Milligan College,1 Blowers Boulevard,Milligan College,TN,"""37682"""
Millikin University,1184 W Main St,Decatur,IL,"""62522-2084"""
Mills College,5000 MacArthur Blvd,Oakland,CA,"""94613"""
Millsaps College,1701 N State St,Jackson,MS,"""39210-0001"""
Milwaukee Area Technical College,700 W State St,Milwaukee,WI,"""53233-1443"""
Milwaukee Ballet School,504 West National Avenue,Milwaukee,WI,"""53204"""
Milwaukee Career College,"3077 North Mayfair Road, Suite 300",Milwaukee,WI,"""53222"""
Milwaukee Institute of Art Design,273 E Erie St,Milwaukee,WI,"""53202"""
Milwaukee School of Engineering,1025 N Broadway,Milwaukee,WI,"""53202-3109"""
Mineral Area College,5270 Flat River Road,Park Hills,MO,"""63601-1000"""
Minneapolis Business College,1711 W County Rd B,Roseville,MN,"""55113-0000"""
Minneapolis College of Art and Design,2501 Stevens Ave,Minneapolis,MN,"""55404"""
Minneapolis Community and Technical College,1501 Hennepin Ave,Minneapolis,MN,"""55403-1779"""
Minneapolis Media Institute,4100 West 76th Street,Edina,MN,"""55435"""
Minnesota School of Business,1401 W 76 St,Richfield,MN,"""55423"""
Minnesota State College-Southeast Technical,1250 Homer Rd,Winona,MN,"""55987"""
Minnesota State Community and Technical College,1414 College Way,Fergus Falls,MN,"""56537-1000"""
Minnesota State University - Mankato,228 Wiecking Center,Mankato,MN,"""56001-6062"""
Minnesota State University - Moorhead,1104 7th Ave S,Moorhead,MN,"""56563"""
Minnesota West Community and Technical College,1593 11th Ave,Granite Falls,MN,"""56241"""
Minot State University,500 University Ave W,Minot,ND,"""58707"""
Miracosta College,One Barnard Dr,Oceanside,CA,"""92056-3899"""
Mirrer Yeshiva Cent Institute,1791-5 Ocean Pky,Brooklyn,NY,"""11223-2010"""
Misericordia University,301 Lake St,Dallas,PA,"""18612-1098"""
Mission College,3000 Mission College Blvd,Santa Clara,CA,"""95054-1897"""
Mississippi College,200 South Capitol Street,Clinton,MS,"""39058"""
Mississippi Delta Community College,Hwy 3 and Cherry St,Moorhead,MS,"""38761"""
Mississippi Gulf Coast Community College,51 Main Street,Perkinston,MS,"""39573"""
Mississippi Job Corps Center,400 Harmony Road,Crystal Springs,MS,"""39059"""
Mississippi State University,610 Allen Hall,Mississippi State,MS,"""39762"""
Mississippi University for Women,1100 College Street,Columbus,MS,"""39701"""
Mississippi Valley State University,14000 Highway 82 West,Itta Bena,MS,"""38941-1400"""
Missouri Baptist University,One College Park Dr,Saint Louis,MO,"""63141-8698"""
Missouri College,1405 South Hanley Road,Brentwood,MO,"""63144"""
Missouri Montessori Teacher Education Program (AMS),1100 White Rd.,Chesterfield,MO,"""63017"""
Missouri Southern State University,3950 E Newman Rd,Joplin,MO,"""64801-1595"""
Missouri State University,901 S National,Springfield,MO,"""65897"""
Missouri State University-West Plains,128 Garfield Avenue,West Plains,MO,"""65775-2715"""
Missouri Tech,1690 Country Club Drive,St. Charles,MO,"""63303"""
Missouri University of Science and Technology,1870 Miner Circle,Rolla,MO,"""65409"""
Missouri Valley College,500 E College St,Marshall,MO,"""65340"""
Missouri Western State University,4525 Downs Dr,Saint Joseph,MO,"""64507"""
Mitchell College,437 Pequot Ave,New London,CT,"""06320"""
Mitchell Community College,500 W Broad Street,Statesville,NC,"""28677-5293"""
Mitchell Technical Institute,821 N Capital St,Mitchell,SD,"""57301"""
Moberly Area Community College,101 College Ave,Moberly,MO,"""65270-1304"""
Modern Institute of Technology,"2550 Vineyard Ave, Suite 220",Oxnard,CA,"""93036"""
Modern Technology School,"16560 Harbor Blvd., Units K-Q",Fountain Valley,CA,"""92708"""
Modern Welding School,1842 State St,Schenectady,NY,"""12304"""
Modesto Junior College,435 College Ave,Modesto,CA,"""95350-5800"""
Mohave Community College,1971 Jagerson Ave,Kingman,AZ,"""86409-1238"""
Mohawk Valley Community College,1101 Sherman Drive,Utica,NY,"""13501-5394"""
Molloy College,1000 Hempstead Ave,Rockville Centre,NY,"""11571-5002"""
Monmouth College,700 E Broadway,Monmouth,IL,"""61462-1998"""
Monmouth County Vocational Center,"105 Neptune Boulevard, Suite 307",Neptune,NJ,"""07753"""
Monmouth University,400 Cedar Ave,West Long Branch,NJ,"""07764-1898"""
Monroe 2 - Orleans BOCES Center for Workforce Development,160 Wallace Way,Rochester,NY,"""14626"""
Monroe College,2501 Jerome Avenue,Bronx,NY,"""10468"""
Monroe Community College,1000 E Henrietta Rd,Rochester,NY,"""14623"""
Monroe County Community College,1555 South  Raisinville Road,Monroe,MI,"""48161-9746"""
Montachusett Regional Vocational Technical School,1050 Westminster Street,Fitchburg,MA,"""01420"""
Montana Academy of Salon Professionals,501 2nd Street South,Great Falls,MT,"""59405"""
Montana Bible College,3625 S 19th Ave,Bozeman,MT,"""59718-9108"""
Montana Montessori Teacher Education Institute,5 Parkhill Road,Kalispel,MT,"""59901"""
Montana State University - Billings,1500 University Drive,Billings,MT,"""59101-0298"""
Montana State University - Bozeman,P.O. Box 172420,Bozeman,MT,"""59717-2420"""
Montana State University - Great Falls College of Technology,2100 16th Ave S,Great Falls,MT,"""59405"""
Montana State University - Northern,P.O.Box 7751,Havre,MT,"""59501"""
Montana Tech of the University of Montana,1300 W Park St,Butte,MT,"""59701-8997"""
Montcalm Community College,2800 College Dr,Sidney,MI,"""48885-9723"""
Montclair State University,1 Normal Avenue - 855 Valley Road,Montclair,NJ,"""07043-1624"""
Monterey Peninsula College,980 Fremont St,Monterey,CA,"""93940-4799"""
Montessori Academy Training Institute (AMS),19620 Pines Boulevard,Pembroke Pines,FL,"""33029"""
Montessori Casa International,7551 East Academy Boulevard,Denver,CO,"""80230"""
Montessori Center for Teacher Education,4544 Pocahontas Ave.,San Diego,CA,"""92117"""
Montessori Center for Teacher Education - Washington State,10723 NE 38th Place,Bellevue,WA,"""98004"""
Montessori Education Center of the Rockies,4745 Walnut Street,Boulder,CO,"""80301"""
Montessori Educational Institute of North America,8563 Fay Road,Cordova,TN,"""38018"""
"Montessori Educators International, Inc (IND)",913 Cumberland Dr.,Louisville,TN,"""37777"""
Montessori Heartland Teacher Education Center,2100 48th Street,Moline,IL,"""61265"""
Montessori Hills Academy Teacher Certification Center,612 Paseo Del Rey,Chula Vista,CA,"""91910"""
Montessori Institute for Teacher Education,One Middleton Drive,Wilmington,DE,"""19808"""
Montessori Institute Northwest (AMI),4506 SE Belmont-Lower Level,Portland,OR,"""97215"""
Montessori Institute of Advanced Studies (AMS),22781 Canyon Court,Castro Valley,CA,"""94552-5483"""
Montessori Institute of Milwaukee,"3195 S. Superior St., L428",Milwaukee,WI,"""53207-3074"""
Montessori Live,2001 Pinebrook Rd.,Venice,FL,"""34292"""
Montessori of Alameda Teacher Education Program,4210 NE Going,Portland,OR,"""97218"""
"Montessori Opportunities, Inc (AMS)",2950 Ridge Road North,Norwalk,OH,"""44857"""
Montessori Teacher Education at Charlotte (AMS),3701 Haven Drive,Charlotte,NC,"""28209"""
Montessori Teacher Education Center - San Francisco Bay Area,16492 Foothill Blvd.,San Leandro,CA,"""94578-2105"""
Montessori Teacher Education Institute - Houston,5812 Maple Street,Houston,TX,"""77074"""
Montessori Teacher Preparation of Washington,318 3rd Avenue South,Kent,WA,"""98032"""
Montessori Teacher Training Institute,340 St. Ann's Drive,Laguna Beach,CA,"""92651"""
Montessori Teacher Training Institute of South Carolina (AMS),207 Pendleton Road,Clemson,SC,"""29631"""
Montessori Teacher Training of Philadelphia,2220 South Sproul Road,Broomall,PA,"""19008"""
